대분류명,소분류명,서비스상태,서비스명,결제방법,장소명,서비스대상,longitude,latitude
체육시설,테니스장,접수중,"탄천센터 테니스장 1면(일원1,개포3동 주민 대상)",무료,서울물재생시설공단>탄천물재생센터, 제한없음,127.07937089232,37.496830858969
체육시설,테니스장,접수중,"탄천센터 테니스장 2면(일원1,개포3동 주민 대상)",무료,서울물재생시설공단>탄천물재생센터, 제한없음,127.07937089232,37.496830858969
체육시설,족구장,접수중,에코파크 족구장 1면,무료,에코파크, 제한없음,127.08817787505,37.495187838167
체육시설,풋살장,접수중,에코파크 풋살장,무료,에코파크, 제한없음,127.08817787505,37.495187838167
체육시설,족구장,접수중,에코파크 족구장 2면,무료,에코파크, 제한없음,127.08817787505,37.495187838167
체육시설,테니스장,접수중,마루공원 테니스장 1면,무료,마루공원, 제한없음,127.08065924405156,37.49523951079615
체육시설,테니스장,접수중,마루공원 테니스장 2면,무료,마루공원, 제한없음,127.08065924405156,37.49523951079615
체육시설,테니스장,예약마감,마루공원 테니스장 3면,무료,마루공원, 제한없음,127.08065924405156,37.49523951079615
체육시설,풋살장,접수중,마루공원 풋살장 1면,무료,마루공원, 제한없음,127.08065924405156,37.49523951079615
체육시설,족구장,접수중,마루공원 족구장 1면,무료,마루공원, 제한없음,127.08065924405156,37.49523951079615
체육시설,족구장,접수중,마루공원 족구장 2면,무료,마루공원, 제한없음,127.08065924405156,37.49523951079615
체육시설,족구장,접수중,마루공원 족구장 3면,무료,마루공원, 제한없음,127.08065924405156,37.49523951079615
체육시설,축구장,접수중,탄천센터 축구장,무료,탄천센터, 제한없음,127.076439691178,37.4972726699605
체육시설,풋살장,접수중,마루공원 풋살장 2면,무료,마루공원, 제한없음,127.08092469666472,37.49531030824542
체육시설,족구장,접수중,2023년 족구장2 (안내센터상류)-광나루한강공원,유료,광나루한강공원>족구장2(안내센터상류), 제한없음,127.1228844196981,37.55318416385411
체육시설,족구장,접수중,2023년 족구장3 (안내센터상류)-광나루한강공원,유료,광나루한강공원>족구장3(안내센터상류), 제한없음,127.12289572152544,37.553175142254325
체육시설,야구장,접수중,2023년 광나루 어린이야구장(5월~),유료,광나루한강공원>어린이야구장, 어린이,127.11532021382494,37.540006581531294
체육시설,야구장,접수중,2023년 광나루 성인야구장(평일)-광나루한강공원,유료,광나루한강공원>성인야구장, 성인,127.11313636349792,37.53847158849456
체육시설,야구장,접수중,2023년 광나루 성인야구장(토/일/공휴일)-광나루한강공원,유료,광나루한강공원>성인야구장, 제한없음,127.11313636349792,37.53847158849456
체육시설,축구장,접수중,2023년 축구장2-광나루한강공원,유료,광나루한강공원>축구장 2, 제한없음,127.12231538484988,37.55123499620423
체육시설,족구장,접수중,2023년 족구장1 (안내센터상류)-광나루한강공원,유료,광나루한강공원>족구장1(안내센터상류), 제한없음,127.12292293544864,37.553207549476966
체육시설,농구장,접수중,2023년 농구장1-광나루한강공원,유료,"광나루한강공원>농구장 1, 2 ", 제한없음,127.12294525264927,37.55301471283899
체육시설,농구장,접수중,2023년 농구장2-광나루한강공원,유료,"광나루한강공원>농구장 1, 2 ", 제한없음,127.12294525264927,37.55301471283899
체육시설,축구장,접수중,2023년 축구장1-광나루한강공원,유료,광나루한강공원>축구장 1, 제한없음,127.12266779878298,37.55220950966281
체육시설,축구장,접수중,2023년 축구장3-광나루한강공원,유료,광나루한강공원>축구장 3, 제한없음,127.1158915314405,37.540679970000994
체육시설,배구장,접수중,2023년 배구장1 (안내센터상류)-광나루한강공원,유료,"광나루 배구장1,2", 제한없음,127.12248003426048,37.55183485975812
체육시설,배구장,접수중,2023년 배구장2 (안내센터 상류)-광나루한강공원,유료,"광나루 배구장1,2", 제한없음,127.12248003426048,37.55183485975812
체육시설,테니스장,안내중,&lt;&#39;23.6 월&gt;광나루한강공원 테니스장 4번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,안내중,&lt;&#39;23.6월&gt;광나루한강공원 테니스장 5번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,예약마감,&lt;&#39;23.5 월&gt;광나루한강공원 테니스장 5번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,예약마감,&lt;&#39;23.5 월&gt;광나루한강공원 테니스장 4번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,접수중,&lt;&#39;23. 5월&gt;광나루 한강공원 테니스장5 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,접수중,&lt;&#39;23. 5월&gt;광나루 한강공원 테니스장8번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,접수중,&lt;&#39;23. 5월&gt;광나루 한강공원 테니스장6 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,접수중,&lt;&#39;23. 5월&gt;광나루 한강공원 테니스장7번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,예약마감,&lt;&#39;23. 5월&gt;광나루 한강공원 테니스장4 번 코트 - 토/일/공휴일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,접수중,&lt;&#39;23. 5월&gt;광나루한강공원 테니스장 5번 코트 - 평일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,접수중,&lt;&#39;23. 5월&gt;광나루한강공원 테니스장 4번 코트 - 평일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,접수중,&lt;&#39;23.5 월&gt;광나루한강공원 테니스장 6번 코트 - 평일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,접수중,&lt;&#39;23.5 월&gt;광나루한강공원 테니스장 7번 코트 - 평일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,접수중,&lt;&#39;23.5 월&gt;광나루한강공원 테니스장 8번 코트 - 평일,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,예약마감,&lt;&#39;23.5 월&gt;광나루한강공원 테니스장 8번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
체육시설,테니스장,예약마감,&lt;&#39;23.5 월&gt;광나루한강공원 테니스장 7번 코트 - 저녁,유료,광나루 한강공원 테니스장, 제한없음,127.12227,37.54996
